english,hindi
A stitch in time saves nine,समय पर कार्य करना फायदेमंद होता है
A snowball's chance in hell,नामुमकिन
A wolf in sheep's clothing,भेड़िये की खाल में भेड़
Against the grain,स्वभाव के विरुद्ध
All talk and no action,बस बातें, काम कुछ नहीं
An axe to grind,निजी स्वार्थ होना
At the end of your rope,धैर्य की सीमा पार करना
Bad blood,दुश्मनी
Bark is worse than bite,दिखावटी डर
Bear with me,थोड़ा धैर्य रखें
Beat the clock,समय से पहले काम पूरा करना
Behind the scenes,परदे के पीछे
Benefit of the doubt,संदेह का लाभ देना
Bent out of shape,परेशान होना
Big fish in a small pond,छोटे स्थान पर बड़ा व्यक्ति
Birds of a feather flock together,समान स्वभाव के लोग साथ रहते हैं
Blow off steam,गुस्सा निकालना
Born with a silver spoon,अमीर घराने में जन्म लेना
Bring home the bacon,पैसा कमाना
Buttering someone up,चापलूसी करना
Call a spade a spade,सच को सच कहना
Cat got your tongue,बोलने में असमर्थ होना
Caught with your hand in the cookie jar,गलत काम करते पकड़े जाना
Chase rainbows,असंभव की इच्छा रखना
Child's play,बहुत आसान
Clean slate,नई शुरुआत
Come rain or shine,हर हाल में
Cook someone's goose,किसी की योजना खराब करना
Cross the bridge when you come to it,समय आने पर निर्णय लेना
Cry your heart out,दिल खोल कर रोना
Curiosity killed the cat,अधिक जिज्ञासा नुकसानदायक है
Cutting edge,नवीनतम तकनीक
Day in and day out,लगातार
Dead as a doornail,बिलकुल मृत
Don't judge a book by its cover,बाहरी रूप से न आंकें
Don't let the cat out of the bag,राज़ न खोलें
Down for the count,हार मान लेना
Down to the wire,अंतिम क्षण
Dressed to kill,बहुत आकर्षक पोशाक
Drive someone up the wall,परेशान करना
Drop the ball,गलती करना
Eat your words,अपनी बात वापस लेना
Eleventh hour,अंतिम समय
Every dog has its day,हर किसी का दिन आता है
Fall on deaf ears,सुनी-अनसुनी कर देना
Feel under the weather,अस्वस्थ महसूस करना
Fight tooth and nail,पूरी ताकत से लड़ना
Fish out of water,अजनबी परिवेश में असहज
Fly off the handle,अचानक गुस्सा करना
Foot the bill,बिल चुकाना
Get a second wind,नई ऊर्जा प्राप्त करना
Get down to brass tacks,मुख्य बात पर आना
Get over it,भूल जाना
Give someone a piece of your mind,अपना गुस्सा दिखाना
Go against the grain,प्रथा के विरूद्ध जाना
Go back to the drawing board,नए सिरे से शुरू करना
Go down like a lead balloon,बुरी तरह असफल होना
Go through the roof,बहुत ज्यादा बढ़ना
Hang in there,धैर्य रखना
Have a bone to pick,शिकायत होना
Hit the nail on the head,सटीक बात कहना
Hold your horses,रुकना, धैर्य रखना
Ice breaker,बातचीत शुरू करने का तरीका
In a nutshell,संक्षेप में
In the blink of an eye,पलक झपकते
Jump the gun,जल्दबाजी करना
Keep a stiff upper lip,मुश्किल में भी मजबूत रहना
Keep an eye on,नज़र रखना
Keep your shirt on,शांत रहना
Kick the bucket,मर जाना
Know the ropes,काम का तरीका जानना
Leave no stone unturned,हर संभव प्रयास करना
Let sleeping dogs lie,मामले को न छेड़ना
Level playing field,समान अवसर
Like trying to find a needle in a haystack,मुश्किल खोज
Live and let live,जियो और जीने दो
Make a long story short,संक्षेप में कहना
Miss the mark,निशाना चूकना
No strings attached,बिना शर्त
Not rocket science,बहुत आसान
Off the hook,जिम्मेदारी से मुक्त
On pins and needles,चिंता में
Once in a blue moon,बहुत कभी-कभार
Out of the woods,मुसीबत से बाहर
Over the moon,बहुत खुश
Put all your eggs in one basket,सारा दांव एक जगह लगाना
Rise and shine,जल्दी उठकर सक्रिय होना
Roll with the punches,परिस्थितियों के अनुसार ढलना
Scratch the surface,सतही जानकारी
See the light,समझ आना
Short end of the stick,अनुचित हिस्सा
Speak of the devil,जिसकी बात हो रही हो उसका आ जाना
Steal the show,सबका ध्यान खींचना
चिराग तले अंधेरा,darkness under the lamp
कोयले की दलाली में हाथ काले,hands get dirty in coal business
जैसा बोओगे वैसा काटोगे,as you sow, so shall you reap
भैंस के आगे बीन बजाना,effort wasted on unappreciative audience
जिसकी लाठी उसकी भैंस,might is right
आम के आम गुठलियों के दाम,double benefit
आसमान से गिरा खजूर में अटका,from bad to worse
जब जागो तभी सवेरा,it's morning when you wake up
जिन खोजा तिन पाइयां,seek and you shall find
ढाक के तीन पात,always the same
दाल-भात में मूसलचंद,unwanted interference
लातों के भूत बातों से नहीं मानते,stubborn people need harsh treatment
नानी याद आना,face severe difficulty
दूर के ढोल सुहावने,distant things seem attractive
अपने मुंह मियां मिट्ठू बनना,self-praise
आंख के अंधे नाम नयनसुख,ironic naming
उलटा चोर कोतवाल को डांटे,the guilty blaming the innocent
ऊंची दुकान फीके पकवान,grand exterior, poor substance
काठ की हांडी बार-बार नहीं चढ़ती,luck doesn't favor always
